price,restaurant_id,id,name
17.12222222,244,1613,Peach tart
28.2245269,260,1711,Avocat aux Crevettes avocado and shrimp salad with tarragon mayonnaise
27.7444774,43,277,"CABERNET SAUVIGNON, Rutherford, Beaulieu"
8.9256787,68,438,Subgum Shrimp Chow Mein
29.44688586,45,283,Dom Perignon
19.43646465,242,1600,Dubonnet
10.8474646,173,1159,"Coconut Shrimp Jumbo shrimp, battered and dipped in shredded coconut, fried golden brown and served with a Chinese pesto dipping sauce, pineapple chutney, yogurt cucumbers and steamed rice"
30.66474763,45,286,Christers Champagne Cocktail with Black Currant Sorbet
11.3,18,123,"Domaine Carneros, Brut, 1992, Napa"
12.5,310,2043,Salmon Fillet
20.1,101,660,2004 SAUVIGNON Western Cape Sincerely Neil Ellis
27.4,283,1867,Shredsded Pork w. Garlic Sauce
19,48,304,Strawberry Mineral Water
25.1,157,1050,"Mesclun Salad: Leaf Lettuce, Mandarin Oranges, Walnuts, Goat Cheese and Plum Tomatoes ... 5.95"
25.6,94,615,Smoked Chub Fillet
13.5,128,859,"Mixed Green Salad- with Coach Farms triple creme goat cheese, toasted pumpkin seeds and apple cider vinegar"
36.4,296,1954,Golden Bantam Corn on Cob
21.8,282,1862,"Hogue Cellars Fume, 1996, Columbia Valley"
20.9,298,1969,"Hogue Cellars Fume, 1996, Columbia Valley"
19.1,383,2514,"Wraps: W4  Chicken Fajita Black Beans, Vermont Cheddar & Monterey Jack Cheese, Chopped Tomato & Avocado ... 6.25"
8.2,143,957,French fries
30.4,207,1363,"Cuvaison, Chardonnay, Carneros, USA 1999"
10,125,845,"Veuve Clicquot, Yellow Label, Brut NV"
24.6,244,1611,San Pellegrino Sparkling Water
25.4,153,1020,"Vegetarian Curried Noodles. Chinese Egg Noodles stir-fried with Leeks, Bok Choi, Eggplant and Tofu"
21.8,75,480,Burger
22.8,30,193,"Merlot, Duckhorn, 1997. (Napa Valley)"
22.6,262,1721,Blueberry  or Apple Crumb Cake ...1.75
24.3,234,1542,Steamed Broccoli w. String Bean
35.8,328,2165,"Trout Provencal. Sauteed with diced Tomatoes, Mushrooms and Garlic...with Rice"
13.8,32,203,CÃƒÂ´te de bÃ…Â“uf with haricot verts and Balthazar onion rings - for two
