opening_hours,city,creation_date,id,street,email,phone_number,name
12:00-23:00,San Francisco,10/15/17 20:34,268,Bayside Village Pl,rods_1890s_ranch_house@inbox.com,0499-121761,Rods 1890s Ranch House
12:00-23:00,,3/23/18 8:41,337,Leona Terrace,southern_railway@hotmail.com,0496-657871,Southern Railway
12:00-23:00,,7/7/17 5:10,162,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,Associates Of The Enginer Corps And Company K
12:00-23:00,,8/7/17 16:57,193,Burgoyne St,the_cleveland_bankers@yahoo.com,0496-641689,The Cleveland Bankers
12:00-23:00,,7/7/17 10:37,163,Carl St,the_streamliner@gmail.com,0495-160486,The Streamliner
12:00-23:00,,3/28/18 15:16,338,Pond St,lucullus_club@inbox.com,0496-986245,Lucullus Club
12:00-23:00,,12/11/17 21:56,297,Flournoy St,club_31@inbox.com,0499-540935,Club 31
12:00-23:00,,9/25/17 15:42,255,Latona St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0498-994404,Toyo Kisen Kaisha  Hong Kong Maru
12:00-23:00,,9/16/17 10:18,245,Loomis St,veteran_corps_of_artillery_military_society_of_the_war_of_1812@outlook.com,0495-562736,Veteran Corps Of Artillery Military Society Of The War Of 1812
12:00-23:00,,3/7/18 23:56,332,Lake Merced Hill S St,cf_wetzel@hotmail.com,0498-319369,C.F. Wetzel
12:00-23:00,,8/7/17 13:00,192,Marine Dr,harrys_bar@aol.com,0494-616328,Harrys Bar
12:00-23:00,,4/27/17 22:10,39,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,Long Island Business College Hall
12:00-23:00,,7/7/17 17:51,164,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,Brooklyn Democratic Club
12:00-23:00,,10/20/17 7:41,271,Fresnel Way,seventh_masonic_district@mail.com,0496-040228,Seventh Masonic District
12:00-23:00,,9/30/17 16:39,261,Codman Pl,salle_hotel@gmail.com,0498-575430,Salle Hotel
12:00-23:00,,9/28/17 17:21,258,Donahue St,san_souci___beverly_wilshire_hotel@mail.com,0499-679087,San Souci   Beverly Wilshire Hotel
12:00-23:00,,9/11/17 3:08,240,Moneta Way,the_pabst@yahoo.com,0497-859751,The Pabst
12:00-23:00,,4/7/18 5:21,340,Quintara St,18th_club@outlook.com,0494-267745,18th Club
12:00-23:00,,6/15/17 5:52,132,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,Karl Ratzschs
12:00-23:00,,10/21/17 20:50,273,Bowl Dr,nipppon_yusen_kaisha___ss_kobe_maru@aol.com,0495-365711,Nipppon Yusen Kaisha   S.S. Kobe Maru
12:00-23:00,,3/3/18 23:33,328,Emmet Ct,explorers_club___arctic_club@yahoo.com,0498-853282,Explorers Club   Arctic Club
12:00-23:00,,6/28/17 16:26,149,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,Union Pacific  Railroad
12:00-23:00,,5/13/17 10:36,70,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,Winthrop Hotel
12:00-23:00,,12/6/17 20:14,294,Bird St,american_spool_cotton_manufacturers_association@hotmail.com,0497-515464,American Spool Cotton Manufacturers Association
12:00-23:00,,1/23/18 11:23,314,Beale St,willards_hotel@inbox.com,0499-396148,Willards Hotel
12:00-23:00,,6/15/17 21:28,134,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,The Upholstey And Allied Trades
12:00-23:00,,7/14/17 5:42,171,Edith St,century_club?@inbox.com,0498-662968,Century Club?
12:00-23:00,,5/16/17 5:04,78,Haight St,amity_hall_inn@inbox.com,0497-081463,Amity Hall Inn
12:00-23:00,,5/30/17 7:49,102,Lincoln Way,library_room@aol.com,0496-312433,Library Room
12:00-23:00,,2/2/18 7:28,317,Leona Terrace,mills_hotel@gmail.com,0496-313456,Mills Hotel
12:00-23:00,,4/28/17 14:52,41,S Hughes Ln - Golden Gate National Recreation Area,bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com,0498-587830,Bert Hough & Tony Franker   Pabst Blue Ribbon
12:00-23:00,,4/26/17 18:19,36,Clover St,friends_of_hanthony_dyer@gmail.com,0495-277891,Friends Of H.Anthony Dyer
12:00-23:00,,7/1/18 14:30,359,Sansome St,the_ballroom_of_the_hotel_plaza@yahoo.com,0494-478153,The Ballroom Of The Hotel Plaza
12:00-23:00,,6/16/17 3:47,136,Doublerock St,brasserie_dalsace@mail.com,0495-312358,Brasserie Dalsace
12:00-23:00,,12/8/17 11:00,295,Fresnel Way,liptons_restaurant@mail.com,0499-421579,Liptons Restaurant
12:00-23:00,,4/23/17 6:01,30,Harrison St,comrades_of_the_army_of_the_potomac@gmail.com,0494-503010,Comrades Of The Army Of The Potomac
12:00-23:00,,12/15/17 1:35,300,Tucker Ave,dr_h_g_sherman@hotmail.com,0496-897141,Dr. H. G. Sherman
